Group,Date,Teams,Result,Date_minus_15_minutes,Date_plus_105_minutes
Group A,1998-06-10 04:30:00,Brazil - Scotland,2:1 ,1998-06-10 04:15:00,1998-06-10 06:15:00
Group A,1998-06-10 08:00:00,Morocco - Norway,2:2 ,1998-06-10 07:45:00,1998-06-10 09:45:00
Group A,1998-06-16 04:30:00,Scotland - Norway,1:1 ,1998-06-16 04:15:00,1998-06-16 06:15:00
Group A,1998-06-16 08:00:00,Brazil - Morocco,3:0 ,1998-06-16 07:45:00,1998-06-16 09:45:00
Group A,1998-06-23 08:00:00,Scotland - Morocco,0:3 ,1998-06-23 07:45:00,1998-06-23 09:45:00
Group A,1998-06-23 08:00:00,Brazil - Norway,1:2 ,1998-06-23 07:45:00,1998-06-23 09:45:00
Group B,1998-06-11 04:30:00,Italy - Chile,2:2 ,1998-06-11 04:15:00,1998-06-11 06:15:00
Group B,1998-06-11 08:00:00,Cameroon - Austria,1:1 ,1998-06-11 07:45:00,1998-06-11 09:45:00
Group B,1998-06-17 04:30:00,Chile - Austria,1:1 ,1998-06-17 04:15:00,1998-06-17 06:15:00
Group B,1998-06-17 08:00:00,Italy - Cameroon,3:0 ,1998-06-17 07:45:00,1998-06-17 09:45:00
Group B,1998-06-23 03:00:00,Italy - Austria,2:1 ,1998-06-23 02:45:00,1998-06-23 04:45:00
Group B,1998-06-23 03:00:00,Chile - Cameroon,1:1 ,1998-06-23 02:45:00,1998-06-23 04:45:00
Group C,1998-06-12 04:30:00,Saudi Arabia - Denmark,0:1 ,1998-06-12 04:15:00,1998-06-12 06:15:00
Group C,1998-06-12 08:00:00,France - South Africa,3:0 ,1998-06-12 07:45:00,1998-06-12 09:45:00
Group C,1998-06-18 04:30:00,South Africa - Denmark,1:1 ,1998-06-18 04:15:00,1998-06-18 06:15:00
Group C,1998-06-18 08:00:00,France - Saudi Arabia,4:0 ,1998-06-18 07:45:00,1998-06-18 09:45:00
Group C,1998-06-24 03:00:00,France - Denmark,2:1 ,1998-06-24 02:45:00,1998-06-24 04:45:00
Group C,1998-06-24 03:00:00,South Africa - Saudi Arabia,2:2 ,1998-06-24 02:45:00,1998-06-24 04:45:00
Group D,1998-06-12 01:30:00,Paraguay - Bulgaria,0:0 ,1998-06-12 01:15:00,1998-06-12 03:15:00
Group D,1998-06-13 01:30:00,Spain - Nigeria,2:3 ,1998-06-13 01:15:00,1998-06-13 03:15:00
Group D,1998-06-19 04:30:00,Nigeria - Bulgaria,1:0 ,1998-06-19 04:15:00,1998-06-19 06:15:00
Group D,1998-06-19 08:00:00,Spain - Paraguay,0:0 ,1998-06-19 07:45:00,1998-06-19 09:45:00
Group D,1998-06-24 08:00:00,Spain - Bulgaria,6:1 ,1998-06-24 07:45:00,1998-06-24 09:45:00
Group D,1998-06-24 08:00:00,Nigeria - Paraguay,1:3 ,1998-06-24 07:45:00,1998-06-24 09:45:00
Group E,1998-06-13 04:30:00,South Korea - Mexico,1:3 ,1998-06-13 04:15:00,1998-06-13 06:15:00
Group E,1998-06-13 08:00:00,Netherlands - Belgium,0:0 ,1998-06-13 07:45:00,1998-06-13 09:45:00
Group E,1998-06-20 04:30:00,Belgium - Mexico,2:2 ,1998-06-20 04:15:00,1998-06-20 06:15:00
Group E,1998-06-20 08:00:00,Netherlands - South Korea,5:0 ,1998-06-20 07:45:00,1998-06-20 09:45:00
Group E,1998-06-25 03:00:00,Belgium - South Korea,1:1 ,1998-06-25 02:45:00,1998-06-25 04:45:00
Group E,1998-06-25 03:00:00,Netherlands - Mexico,2:2 ,1998-06-25 02:45:00,1998-06-25 04:45:00
Group F,1998-06-14 04:30:00,Yugoslavia - Iran,1:0 ,1998-06-14 04:15:00,1998-06-14 06:15:00
Group F,1998-06-15 08:00:00,Germany - USA,2:0 ,1998-06-15 07:45:00,1998-06-15 09:45:00
Group F,1998-06-21 01:30:00,Germany - Yugoslavia,2:2 ,1998-06-21 01:15:00,1998-06-21 03:15:00
Group F,1998-06-21 08:00:00,USA - Iran,1:2 ,1998-06-21 07:45:00,1998-06-21 09:45:00
Group F,1998-06-25 08:00:00,Germany - Iran,2:0 ,1998-06-25 07:45:00,1998-06-25 09:45:00
Group F,1998-06-25 08:00:00,USA - Yugoslavia,0:1 ,1998-06-25 07:45:00,1998-06-25 09:45:00
Group G,1998-06-15 01:30:00,England - Tunisia,2:0 ,1998-06-15 01:15:00,1998-06-15 03:15:00
Group G,1998-06-15 04:30:00,Romania - Colombia,1:0 ,1998-06-15 04:15:00,1998-06-15 06:15:00
Group G,1998-06-22 04:30:00,Colombia - Tunisia,1:0 ,1998-06-22 04:15:00,1998-06-22 06:15:00
Group G,1998-06-22 08:00:00,Romania - England,2:1 ,1998-06-22 07:45:00,1998-06-22 09:45:00
Group G,1998-06-26 08:00:00,Romania - Tunisia,1:1 ,1998-06-26 07:45:00,1998-06-26 09:45:00
Group G,1998-06-26 08:00:00,Colombia - England,0:2 ,1998-06-26 07:45:00,1998-06-26 09:45:00
Group H,1998-06-14 01:30:00,Argentina - Japan,1:0 ,1998-06-14 01:15:00,1998-06-14 03:15:00
Group H,1998-06-14 08:00:00,Jamaica - Croatia,1:3 ,1998-06-14 07:45:00,1998-06-14 09:45:00
Group H,1998-06-20 01:30:00,Japan - Croatia,0:1 ,1998-06-20 01:15:00,1998-06-20 03:15:00
Group H,1998-06-21 04:30:00,Argentina - Jamaica,5:0 ,1998-06-21 04:15:00,1998-06-21 06:15:00
Group H,1998-06-26 03:00:00,Japan - Jamaica,1:2 ,1998-06-26 02:45:00,1998-06-26 04:45:00
Group H,1998-06-26 03:00:00,Argentina - Croatia,1:0 ,1998-06-26 02:45:00,1998-06-26 04:45:00
Round of 16,1998-06-27 03:30:00,Italy - Norway,1:0 ,1998-06-27 03:15:00,1998-06-27 05:15:00
Round of 16,1998-06-27 08:00:00,Brazil - Chile,4:1 ,1998-06-27 07:45:00,1998-06-27 09:45:00
Round of 16,1998-06-28 03:30:00,France - Paraguay,1:0 ,1998-06-28 03:15:00,1998-06-28 05:15:00
Round of 16,1998-06-28 08:00:00,Nigeria - Denmark,1:4 ,1998-06-28 07:45:00,1998-06-28 09:45:00
Round of 16,1998-06-29 03:30:00,Germany - Mexico,2:1 ,1998-06-29 03:15:00,1998-06-29 05:15:00
Round of 16,1998-06-29 08:00:00,Netherlands - Yugoslavia,2:1 ,1998-06-29 07:45:00,1998-06-29 09:45:00
Round of 16,1998-06-30 03:30:00,Romania - Croatia,0:1 ,1998-06-30 03:15:00,1998-06-30 05:15:00
Round of 16,1998-06-30 08:00:00,Argentina - England,4:3 ,1998-06-30 07:45:00,1998-06-30 09:45:00
Quarter-finals,1998-07-03 03:30:00,Italy - France,3:4 ,1998-07-03 03:15:00,1998-07-03 05:15:00
Quarter-finals,1998-07-03 08:00:00,Brazil - Denmark,3:2 ,1998-07-03 07:45:00,1998-07-03 09:45:00
Quarter-finals,1998-07-04 03:30:00,Netherlands - Argentina,2:1 ,1998-07-04 03:15:00,1998-07-04 05:15:00
Quarter-finals,1998-07-04 08:00:00,Germany - Croatia,0:3 ,1998-07-04 07:45:00,1998-07-04 09:45:00
Semi-finals,1998-07-07 08:00:00,Brazil - Netherlands,4:2 ,1998-07-07 07:45:00,1998-07-07 09:45:00
Semi-finals,1998-07-08 08:00:00,France - Croatia,2:1 ,1998-07-08 07:45:00,1998-07-08 09:45:00
3rd place,1998-07-11 08:00:00,Netherlands - Croatia,1:2 ,1998-07-11 07:45:00,1998-07-11 09:45:00
Final,1998-07-12 08:00:00,Brazil - France,0:3 ,1998-07-12 07:45:00,1998-07-12 09:45:00
